2026-03-22 16:47:51.168 | INFO     | __main__:run_backtest:120 | === 开始A股ETF量化交易系统回测 ===
2026-03-22 16:47:51.170 | INFO     | logger:log_backtest_start:89 | 开始回测
2026-03-22 16:47:51.170 | INFO     | logger:log_backtest_start:90 | ETF池: ['510300', '510500', '159915', '159919', '512100', '512880', '515050', '516160', '159949', '518880', '159952', '159926', '159941']
2026-03-22 16:47:51.170 | INFO     | logger:log_backtest_start:91 | 时间范围: 2020-01-01 到 2023-12-31
2026-03-22 16:47:51.170 | INFO     | logger:log_backtest_start:92 | 初始资金: 1000000
2026-03-22 16:47:51.171 | INFO     | __main__:prepare_data:32 | 开始准备回测数据
2026-03-22 16:47:51.171 | INFO     | data.loader:_generate_mock_data:93 | 开始生成模拟ETF数据
2026-03-22 16:47:51.172 | INFO     | data.loader:_generate_mock_data:107 | 为 13 个ETF生成数据，时间范围: 2020-01-01 到 2023-12-31
2026-03-22 16:47:51.178 | INFO     | data.loader:_generate_mock_data:143 | 模拟数据生成完成，共 13 个ETF
2026-03-22 16:47:51.178 | INFO     | __main__:prepare_data:42 | ETF池包含 13 个ETF: ['510300', '510500', '159915', '159919', '512100']...
2026-03-22 16:47:51.179 | INFO     | __main__:prepare_data:43 | 回测时间范围: 2020-01-01 到 2023-12-31
2026-03-22 16:48:01.233 | INFO     | __main__:run_backtest:120 | === 开始A股ETF量化交易系统回测 ===
2026-03-22 16:48:01.236 | INFO     | logger:log_backtest_start:89 | 开始回测
2026-03-22 16:48:01.236 | INFO     | logger:log_backtest_start:90 | ETF池: ['510300', '510500', '159915', '159919', '512100', '512880', '515050', '516160', '159949', '518880', '159952', '159926', '159941']
2026-03-22 16:48:01.236 | INFO     | logger:log_backtest_start:91 | 时间范围: 2020-01-01 到 2023-12-31
2026-03-22 16:48:01.237 | INFO     | logger:log_backtest_start:92 | 初始资金: 1000000
2026-03-22 16:48:01.237 | INFO     | __main__:prepare_data:32 | 开始准备回测数据
2026-03-22 16:48:01.237 | INFO     | data.loader:_generate_mock_data:93 | 开始生成模拟ETF数据
2026-03-22 16:48:01.238 | INFO     | data.loader:_generate_mock_data:107 | 为 13 个ETF生成数据，时间范围: 2020-01-01 到 2023-12-31
2026-03-22 16:48:01.247 | INFO     | data.loader:_generate_mock_data:143 | 模拟数据生成完成，共 13 个ETF
2026-03-22 16:48:01.248 | INFO     | __main__:prepare_data:42 | ETF池包含 13 个ETF: ['510300', '510500', '159915', '159919', '512100']...
2026-03-22 16:48:01.248 | INFO     | __main__:prepare_data:43 | 回测时间范围: 2020-01-01 到 2023-12-31
2026-03-22 16:48:01.365 | INFO     | __main__:prepare_data:61 | ETF数据加载完成: 成功 13 个，失败 0 个
2026-03-22 16:48:01.366 | INFO     | __main__:prepare_data:69 | 指数数据加载完成: 000300, 1461 天的数据
2026-03-22 16:48:01.366 | INFO     | __main__:prepare_data:73 | 数据准备完成: 加载了 13 个ETF和指数数据
2026-03-22 16:48:01.367 | INFO     | __main__:run_backtest:133 | 初始化回测引擎
2026-03-22 16:48:01.369 | INFO     | __main__:run_backtest:141 | 开始执行回测: 2020-01-01 到 2023-12-31, 初始资金: 1,000,000
2026-03-22 16:48:01.369 | INFO     | backtest.engine:run_backtest:85 | 初始化回测账户和参数
2026-03-22 16:48:01.379 | INFO     | backtest.engine:run_backtest:93 | 生成交易日历: 1043 个交易日
2026-03-22 16:48:01.380 | INFO     | backtest.engine:run_backtest:99 | 开始回测循环
2026-03-22 16:48:01.395 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.396 | INFO     | backtest.engine:_execute_trades:225 | 2020-01-01: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.416 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.417 | INFO     | backtest.engine:_execute_trades:225 | 2020-01-08: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.435 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.436 | INFO     | backtest.engine:_execute_trades:225 | 2020-01-15: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.453 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.454 | INFO     | backtest.engine:_execute_trades:225 | 2020-01-22: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.471 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.471 | INFO     | backtest.engine:_execute_trades:225 | 2020-01-29: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.489 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.490 | INFO     | backtest.engine:_execute_trades:225 | 2020-02-05: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.508 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.508 | INFO     | backtest.engine:_execute_trades:225 | 2020-02-12: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.527 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.528 | INFO     | backtest.engine:_execute_trades:225 | 2020-02-19: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.545 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.545 | INFO     | backtest.engine:_execute_trades:225 | 2020-02-26: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.563 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.563 | INFO     | backtest.engine:_execute_trades:225 | 2020-03-04: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.579 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.580 | INFO     | backtest.engine:_execute_trades:225 | 2020-03-11: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.597 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.597 | INFO     | backtest.engine:_execute_trades:225 | 2020-03-18: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.616 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.616 | INFO     | backtest.engine:_execute_trades:225 | 2020-03-25: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.634 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.634 | INFO     | backtest.engine:_execute_trades:225 | 2020-04-01: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.652 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.652 | INFO     | backtest.engine:_execute_trades:225 | 2020-04-08: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.672 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.673 | INFO     | backtest.engine:_execute_trades:225 | 2020-04-15: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.691 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.691 | INFO     | backtest.engine:_execute_trades:225 | 2020-04-22: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.708 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.709 | INFO     | backtest.engine:_execute_trades:225 | 2020-04-29: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.726 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.726 | INFO     | backtest.engine:_execute_trades:225 | 2020-05-06: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.743 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.744 | INFO     | backtest.engine:_execute_trades:225 | 2020-05-13: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.756 | INFO     | logger:log_backtest_progress:96 | 日期: 2020-05-19 | 总价值: 1,000,000.00 | 交易数量: 0
2026-03-22 16:48:01.763 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.763 | INFO     | backtest.engine:_execute_trades:225 | 2020-05-20: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.780 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.780 | INFO     | backtest.engine:_execute_trades:225 | 2020-05-27: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.797 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.797 | INFO     | backtest.engine:_execute_trades:225 | 2020-06-03: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.815 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.815 | INFO     | backtest.engine:_execute_trades:225 | 2020-06-10: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.834 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.834 | INFO     | backtest.engine:_execute_trades:225 | 2020-06-17: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.851 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.852 | INFO     | backtest.engine:_execute_trades:225 | 2020-06-24: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.869 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.870 | INFO     | backtest.engine:_execute_trades:225 | 2020-07-01: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.887 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.888 | INFO     | backtest.engine:_execute_trades:225 | 2020-07-08: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.906 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.907 | INFO     | backtest.engine:_execute_trades:225 | 2020-07-15: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.928 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.928 | INFO     | backtest.engine:_execute_trades:225 | 2020-07-22: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.949 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.949 | INFO     | backtest.engine:_execute_trades:225 | 2020-07-29: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.969 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.970 | INFO     | backtest.engine:_execute_trades:225 | 2020-08-05: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:01.998 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.998 | INFO     | backtest.engine:_execute_trades:225 | 2020-08-12: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:02.020 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.020 | INFO     | backtest.engine:_execute_trades:225 | 2020-08-19: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:02.040 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.040 | INFO     | backtest.engine:_execute_trades:225 | 2020-08-26: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:02.061 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.061 | INFO     | backtest.engine:_execute_trades:225 | 2020-09-02: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:02.079 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.079 | INFO     | backtest.engine:_execute_trades:225 | 2020-09-09: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:02.097 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.098 | INFO     | backtest.engine:_execute_trades:225 | 2020-09-16: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:02.117 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.118 | INFO     | backtest.engine:_execute_trades:225 | 2020-09-23: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:02.137 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.138 | INFO     | backtest.engine:_execute_trades:225 | 2020-09-30: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:48:02.150 | INFO     | logger:log_backtest_progress:96 | 日期: 2020-10-06 | 总价值: 1,000,000.00 | 交易数量: 0
2026-03-22 16:48:02.157 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
