2026-03-22 16:48:01.395 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.416 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.435 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.453 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.471 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.489 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.508 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.527 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.545 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.563 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.579 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.597 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.616 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.634 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.652 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.672 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.691 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.708 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.726 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.743 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.763 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.780 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.797 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.815 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.834 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.851 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.869 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.887 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.906 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.928 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.949 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.969 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:01.998 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.020 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.040 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.061 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.079 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.097 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.117 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.137 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.157 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.175 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.193 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.213 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.232 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.254 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.273 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.292 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.311 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.331 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.351 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.370 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.389 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.409 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.428 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.448 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.468 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.492 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.518 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.542 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.566 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.586 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.605 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.626 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.647 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.668 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.692 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.712 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.732 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.750 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.769 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.788 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.809 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.829 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.848 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.868 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.889 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
