============================================================================================================================================
A股ETF量化交易系统 - 回测交易报告
回测期间: 2020-01-01 至 2025-12-31
总交易数: 632 笔
============================================================================================================================================

交易日期         股票代码       股票名称            买卖类型     价格                     数量            交易金额              收益
--------------------------------------------------------------------------------------------------------------------------------------------
2020-01-01   159949     恒生ETF           买入       3.1542              53314       168165.45 -
2020-01-01   159915     创业板ETF          买入       2.9310              62021       181782.78 -
2020-01-01   516160     新能源ETF          买入       2.5782              66454       171329.15 -
2020-01-08   159949     恒生ETF           卖出       3.1382               1610         5052.57          -25.76
2020-01-08   159915     创业板ETF          买入       2.7103               2822         7648.60 -
2020-01-08   516160     新能源ETF          买入       2.3367              70888       165642.61 -
2020-01-15   159949     恒生ETF           卖出       3.4868               4051        14125.07         1347.22
2020-01-15   159915     创业板ETF          买入       2.6682              67448       179966.93 -
2020-01-15   516160     新能源ETF          卖出       2.4364               1406         3425.52          140.15
2020-01-22   159949     恒生ETF           买入       3.3825               2093         7079.57 -
2020-01-22   159915     创业板ETF          卖出       2.7940               2477         6920.78          311.57
2020-01-22   516160     新能源ETF          卖出       2.5405               2136         5426.54          435.39
2020-01-29   159949     恒生ETF           卖出       3.7051               3607        13364.23         1952.23
2020-01-29   159915     创业板ETF          买入       2.7154               3217         8735.45 -
2020-01-29   516160     新能源ETF          卖出       2.6453               1505         3981.13          464.42
2020-02-05   159949     恒生ETF           买入       3.6655                939         3441.87 -
2020-02-05   159915     创业板ETF          卖出       2.7729               1051         2914.35          107.70
2020-02-05   516160     新能源ETF          卖出       2.7284               1532         4179.93          600.13
2020-02-12   159949     恒生ETF           卖出       3.7323               1264         4717.65          705.90
2020-02-12   159915     创业板ETF          买入       2.6225               3483         9134.33 -
2020-02-12   516160     新能源ETF          卖出       2.7229                329          895.82          127.05
2020-02-19   159949     恒生ETF           卖出       3.9410               2127         8382.58         1631.79
2020-02-19   159915     创业板ETF          卖出       2.6547                513         1361.85           -6.88
2020-02-19   516160     新能源ETF          买入       2.6475               2407         6372.55 -
2020-02-26   159949     恒生ETF           卖出       4.1124               2094         8611.41         1965.36
2020-02-26   159915     创业板ETF          买入       2.5095               3719         9332.73 -
2020-02-26   516160     新能源ETF          买入       2.5926                962         2494.11 -
2020-03-04   159949     恒生ETF           买入       3.8524               1728         6656.91 -
2020-03-04   159915     创业板ETF          买入       2.5437              70920       180402.71 -
2020-03-04   516160     新能源ETF          买入       2.4383               2383         5810.56 -
2020-03-11   159949     恒生ETF           买入       3.7990                358         1360.05 -
2020-03-11   159915     创业板ETF          买入       2.4071               3600         8665.43 -
2020-03-11   516160     新能源ETF          卖出       2.5273               2970         7506.02          513.41
2020-03-18   159949     恒生ETF           卖出       4.1177               2401         9886.66         2189.48
2020-03-18   159915     创业板ETF          买入       2.4241               1425         3454.33 -
2020-03-18   516160     新能源ETF          卖出       2.6839               2241         6014.59          738.35
2020-03-25   159949     恒生ETF           卖出       4.3373               1664         7217.21         1882.73
2020-03-25   159915     创业板ETF          买入       2.2926              81173       186096.03 -
2020-03-25   516160     新能源ETF          卖出       2.8258               2574         7273.51         1213.24
2020-04-01   159949     恒生ETF           卖出       4.6036               1533         7057.38         2142.85
2020-04-01   159915     创业板ETF          卖出       2.4433               3611         8822.61          544.08
2020-04-01   516160     新能源ETF          买入       2.7969               2039         5702.91 -
2020-04-08   159949     恒生ETF           卖出       4.5827                175          801.98          240.96
2020-04-08   159915     创业板ETF          买入       2.2703               5313        12062.17 -
2020-04-08   516160     新能源ETF          卖出       2.8707               2335         6703.09         1172.60
2020-04-15   159949     恒生ETF           卖出       4.6757                897         4194.12         1318.50
2020-04-15   159915     创业板ETF          卖出       2.3380               2870         6710.13          134.51
2020-04-15   516160     新能源ETF          买入       2.6574               4823        12816.65 -
2020-04-22   159949     恒生ETF           买入       4.5573                410         1868.50 -
2020-04-22   159915     创业板ETF          买入       2.2496               1939         4361.99 -
2020-04-22   516160     新能源ETF          买入       2.5855                724         1871.92 -
2020-04-29   159949     恒生ETF           卖出       4.7402               1413         6697.85         2147.10
2020-04-29   159915     创业板ETF          买入       2.2404                569         1274.78 -
2020-04-29   516160     新能源ETF          买入       2.5322               1608         4071.75 -
